timestamp_utc,date,net_liquidation,net_liquidation_value,portfolio_value,equity,account_status,source,current_contracts,signal,confidence
2026-05-25T20:05:14.785754+00:00,2026-05-25,1000000.0,1000000.0,1000000.0,1000000.0,connected,ibkr_net_liquidation,0,SHORT,0.09158951372762231
2026-05-25T20:34:01.868125+00:00,2026-05-25,1000000.0,1000000.0,1000000.0,1000000.0,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,SHORT,0.11100440379486005
2026-05-26T19:29:56.176521+00:00,2026-05-26,1004713.42,1004713.42,1004713.42,1004713.42,connected,f9d63c0f2cd7,ibkr_net_liquidation,-29,SHORT,0.09998310223275342
2026-05-26T19:35:23.903235+00:00,2026-05-26,1004455.34,1004455.34,1004455.34,1004455.34,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,SHORT,0.1225161643995564
2026-05-27T20:10:08.504550+00:00,2026-05-27,1009318.96,1009318.96,1009318.96,1009318.96,connected,f9d63c0f2cd7,ibkr_net_liquidation,-65,SHORT,0.05220440986108985
2026-05-27T20:15:22.234400+00:00,2026-05-27,1008693.66,1008693.66,1008693.66,1008693.66,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,SHORT,0.05534476317543175
2026-05-27T20:28:56.466141+00:00,2026-05-27,1008693.66,1008693.66,1008693.66,1008693.66,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,SHORT,0.05408166585687996
2026-05-27T22:06:18.044117+00:00,2026-05-27,1008693.66,1008693.66,1008693.66,1008693.66,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,SHORT,0.011811093599438924
2026-05-27T23:03:43.946812+00:00,2026-05-27,1008693.66,1008693.66,1008693.66,1008693.66,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,LONG,0.001010294148569448
2026-05-28T00:41:18.432136+00:00,2026-05-28,1008693.66,1008693.66,1008693.66,1008693.66,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,LONG,0.005982741078680937
2026-05-28T01:09:41.124174+00:00,2026-05-28,1008693.66,1008693.66,1008693.66,1008693.66,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,LONG,0.016430937421523222
2026-05-28T03:42:56.704399+00:00,2026-05-28,1008766.75,1008766.75,1008766.75,1008766.75,connected,f9d63c0f2cd7,ibkr_net_liquidation,0,SHORT,0.0027073937702125107
